iter	Passed	Remaining
0	63	63114
1	63	31811
2	64	21286
3	64	16042
4	64	12909
5	66	10937
6	66	9435
7	66	8299
8	67	7412
9	67	6696
10	67	6113
11	68	5629
12	68	5224
13	69	4871
14	69	4564
15	69	4301
16	70	4076
17	70	3869
18	71	3716
19	72	3547
20	72	3399
21	73	3263
22	73	3131
23	74	3015
24	74	2907
25	74	2807
26	75	2715
27	75	2635
28	76	2556
29	76	2486
30	77	2420
31	77	2359
32	78	2304
33	79	2246
34	79	2191
35	79	2141
36	80	2093
37	81	2050
38	81	2006
39	81	1964
40	82	1923
41	82	1888
42	83	1854
43	83	1818
44	84	1785
45	84	1755
46	85	1724
47	85	1698
48	86	1671
49	86	1643
50	86	1618
51	87	1591
52	87	1568
53	88	1547
54	88	1525
55	89	1503
56	89	1488
57	90	1468
58	91	1453
59	91	1433
60	91	1414
61	92	1398
62	93	1384
63	93	1367
64	93	1350
65	94	1335
66	94	1321
67	94	1301
68	95	1286
69	95	1272
70	96	1260
71	96	1245
72	97	1232
73	97	1220
74	97	1206
75	98	1195
76	98	1182
77	99	1170
78	99	1159
79	99	1149
80	100	1139
81	100	1129
82	101	1119
83	101	1112
84	102	1099
85	102	1090
86	102	1079
87	103	1070
88	103	1062
89	104	1052
90	104	1044
91	104	1035
92	105	1027
93	105	1020
94	106	1013
95	106	1005
96	107	997
97	108	994
98	108	988
99	109	981
100	109	973
101	109	964
102	110	958
103	110	951
104	110	945
105	111	939
106	111	933
107	112	926
108	112	921
109	113	915
110	113	910
111	114	905
112	114	899
113	115	894
114	115	887
115	115	881
116	116	876
117	116	870
118	117	866
119	117	861
120	118	858
121	118	855
122	119	849
123	119	843
124	119	838
125	120	834
126	120	828
127	120	822
128	121	817
129	121	811
130	121	806
131	121	801
132	122	796
133	122	791
134	122	786
135	123	781
136	123	778
137	123	773
138	124	771
139	125	768
140	125	764
141	125	760
142	126	756
143	126	753
144	127	749
145	127	745
146	128	743
147	128	739
148	129	736
149	129	733
150	130	731
151	130	729
152	131	726
153	131	722
154	132	720
155	132	716
156	132	713
157	133	710
158	133	707
159	134	704
160	134	701
161	135	698
162	135	695
163	135	692
164	136	689
165	136	686
166	136	683
167	137	680
168	137	677
169	138	674
170	138	672
171	139	669
172	139	666
173	139	663
174	140	661
175	140	658
176	141	656
177	141	653
178	142	651
179	142	649
180	142	646
181	143	644
182	143	641
183	144	639
184	144	637
185	145	634
186	145	632
187	145	630
188	146	628
189	147	626
190	147	624
191	147	622
192	148	620
193	148	618
194	149	615
195	149	613
196	150	611
197	150	608
198	150	606
199	150	603
200	151	601
201	151	599
202	152	597
203	152	595
204	152	593
205	153	591
206	153	589
207	154	587
208	154	585
209	155	583
210	155	581
211	155	579
212	156	576
213	156	574
214	156	572
215	157	570
216	157	568
217	158	567
218	158	565
219	159	564
220	159	562
221	159	560
222	160	558
223	160	556
224	161	554
225	161	552
226	161	550
227	162	551
228	163	549
229	163	547
230	163	545
231	164	543
232	164	541
233	164	539
234	165	538
235	165	536
236	166	534
237	166	533
238	166	531
239	167	529
240	167	528
241	168	526
242	168	525
243	169	523
244	169	522
245	169	520
246	170	519
247	170	517
248	171	515
249	171	514
250	171	513
251	172	511
252	172	510
253	173	508
254	173	507
255	174	505
256	174	504
257	174	503
258	175	501
259	175	500
260	176	499
261	176	497
262	177	496
263	177	494
264	177	493
265	178	492
266	179	491
267	179	490
268	179	488
269	180	487
270	180	486
271	181	484
272	181	483
273	181	481
274	182	480
275	182	478
276	183	477
277	183	476
278	183	475
279	184	474
280	184	473
281	185	472
282	185	470
283	186	469
284	186	468
285	187	467
286	187	465
287	187	464
288	188	463
289	188	462
290	189	461
291	189	459
292	190	458
293	190	457
294	190	455
295	191	454
296	191	453
297	192	452
298	192	451
299	192	450
300	193	448
301	193	447
302	194	446
303	194	445
304	195	444
305	195	443
306	195	442
307	196	441
308	196	440
309	197	439
310	197	438
311	198	437
312	198	436
313	199	435
314	199	434
315	200	433
316	200	431
317	200	430
318	201	429
319	201	428
320	202	427
321	202	426
322	202	425
323	203	424
324	203	423
325	204	422
326	204	421
327	204	419
328	205	418
329	205	417
330	205	416
331	206	415
332	206	414
333	207	413
334	207	412
335	208	411
336	208	410
337	209	409
338	209	408
339	210	407
340	210	406
341	210	405
342	211	405
343	211	403
344	212	404
345	213	402
346	213	401
347	214	401
348	214	400
349	214	399
350	215	398
351	215	397
352	216	396
353	216	395
354	217	394
355	217	393
356	217	392
357	218	391
358	218	390
359	219	389
360	219	388
361	219	387
362	220	386
363	220	385
364	220	384
365	221	383
366	221	382
367	222	381
368	222	380
369	222	379
370	223	378
371	223	377
372	224	376
373	224	375
374	224	374
375	225	374
376	226	373
377	226	372
378	226	371
379	227	371
380	227	370
381	228	369
382	228	368
383	229	367
384	229	366
385	230	366
386	230	365
387	230	364
388	231	363
389	231	362
390	232	361
391	232	360
392	233	359
393	233	359
394	234	358
395	234	357
396	234	356
397	235	355
398	235	355
399	236	354
400	236	353
401	237	352
402	237	351
403	237	350
404	238	350
405	238	349
406	239	348
407	239	347
408	240	346
409	240	345
410	240	345
411	241	344
412	241	343
413	242	342
414	242	342
415	242	341
416	243	340
417	243	339
418	244	338
419	244	337
420	245	337
421	245	336
422	245	335
423	246	334
424	246	333
425	247	333
426	247	332
427	248	331
428	248	330
429	248	329
430	249	329
431	249	328
432	250	327
433	250	326
434	251	326
435	251	325
436	251	324
437	252	323
438	252	322
439	253	322
440	253	321
441	253	320
442	254	319
443	254	318
444	254	317
445	255	317
446	255	316
447	256	315
448	256	315
449	257	314
450	257	313
451	258	312
452	258	312
453	258	311
454	259	310
455	259	309
456	260	309
457	260	308
458	260	307
459	261	306
460	261	306
461	262	305
462	262	304
463	262	303
464	263	302
465	263	302
466	264	301
467	264	300
468	264	299
469	265	299
470	265	298
471	266	297
472	266	296
473	266	295
474	266	295
475	267	294
476	267	293
477	268	292
478	268	292
479	269	291
480	269	290
481	269	290
482	270	289
483	270	288
484	271	287
485	271	287
486	271	286
487	272	285
488	272	284
489	273	284
490	273	283
491	273	282
492	274	281
493	274	281
494	274	280
495	275	279
496	275	278
497	276	278
498	276	277
499	276	276
500	277	276
501	277	275
502	277	274
503	278	273
504	278	273
505	278	272
506	279	271
507	279	271
508	280	270
509	280	269
510	281	269
511	281	268
512	282	268
513	282	267
514	283	266
515	283	266
516	284	265
517	284	264
518	284	263
519	285	263
520	285	262
521	286	262
522	286	261
523	286	260
524	287	260
525	287	259
526	288	258
527	288	258
528	289	257
529	289	256
530	289	256
531	290	255
532	290	254
533	291	254
534	291	253
535	291	252
536	292	252
537	292	251
538	293	250
539	293	250
540	294	249
541	294	248
542	294	248
543	295	247
544	295	246
545	296	246
546	296	245
547	296	244
548	297	244
549	297	243
550	298	243
551	298	242
552	298	241
553	299	240
554	299	240
555	299	239
556	300	238
557	300	238
558	301	237
559	301	236
560	301	236
561	302	235
562	302	234
563	302	234
564	303	233
565	303	232
566	304	232
567	304	231
568	304	230
569	305	230
570	305	229
571	306	229
572	306	228
573	306	227
574	307	227
575	307	226
576	308	225
577	308	225
578	309	224
579	309	224
580	309	223
581	310	222
582	310	222
583	311	221
584	311	221
585	312	220
586	312	219
587	313	219
588	313	218
589	313	218
590	314	217
591	314	216
592	314	216
593	315	215
594	315	214
595	316	214
596	316	213
597	317	213
598	317	212
599	317	211
600	318	211
601	318	210
602	319	210
603	319	209
604	319	208
605	320	208
606	320	207
607	321	206
608	321	206
609	321	205
610	322	205
611	322	204
612	323	203
613	323	203
614	324	202
615	324	202
616	325	201
617	325	201
618	325	200
619	326	199
620	326	199
621	327	198
622	327	198
623	327	197
624	328	197
625	328	196
626	329	195
627	329	195
628	330	194
629	330	194
630	330	193
631	331	192
632	331	192
633	332	191
634	332	191
635	333	190
636	333	189
637	333	189
638	334	188
639	334	188
640	335	187
641	335	187
642	335	186
643	336	185
644	336	185
645	337	184
646	337	184
647	337	183
648	338	182
649	338	182
650	338	181
651	339	181
652	339	180
653	340	179
654	340	179
655	340	178
656	341	178
657	341	177
658	341	176
659	342	176
660	342	175
661	343	175
662	343	174
663	343	174
664	344	173
665	344	172
666	345	172
667	345	171
668	346	171
669	346	170
670	346	170
671	347	169
672	347	168
673	348	168
674	348	167
675	348	167
676	349	166
677	349	166
678	350	165
679	350	164
680	350	164
681	351	163
682	351	163
683	352	162
684	352	162
685	352	161
686	353	160
687	353	160
688	354	159
689	354	159
690	354	158
691	355	158
692	355	157
693	356	157
694	357	156
695	357	156
696	358	155
697	358	155
698	358	154
699	359	153
700	359	153
701	359	152
702	360	152
703	360	151
704	361	151
705	361	150
706	361	149
707	362	149
708	362	148
709	362	148
710	363	147
711	363	147
712	364	146
713	364	146
714	364	145
715	365	144
716	365	144
717	366	143
718	366	143
719	366	142
720	367	142
721	367	141
722	368	141
723	368	140
724	369	139
725	369	139
726	369	138
727	370	138
728	370	137
729	370	137
730	371	136
731	371	136
732	372	135
733	373	135
734	373	134
735	374	134
736	374	133
737	375	133
738	375	132
739	375	132
740	376	131
741	376	131
742	377	130
743	377	129
744	378	129
745	378	128
746	378	128
747	379	127
748	379	127
749	380	126
750	380	126
751	380	125
752	381	125
753	381	124
754	382	123
755	382	123
756	382	122
757	383	122
758	383	121
759	384	121
760	384	120
761	384	120
762	385	119
763	385	119
764	386	118
765	386	118
766	386	117
767	387	116
768	387	116
769	388	115
770	388	115
771	388	114
772	389	114
773	389	113
774	390	113
775	390	112
776	390	112
777	391	111
778	391	111
779	392	110
780	392	110
781	392	109
782	393	109
783	393	108
784	394	107
785	394	107
