iter	Passed	Remaining
0	61	61682
1	62	31053
2	62	20815
3	63	15706
4	63	12628
5	64	10607
6	64	9157
7	65	8064
8	65	7225
9	65	6533
10	66	5966
11	66	5498
12	67	5097
13	67	4772
14	68	4499
15	68	4238
16	69	4008
17	69	3807
18	70	3622
19	70	3455
20	70	3301
21	71	3161
22	71	3040
23	71	2927
24	72	2829
25	72	2731
26	73	2639
27	73	2562
28	74	2482
29	74	2414
30	75	2349
31	75	2286
32	76	2230
33	76	2176
34	77	2123
35	77	2073
36	77	2027
37	78	1984
38	78	1942
39	79	1904
40	79	1870
41	80	1835
42	81	1805
43	81	1775
44	82	1744
45	82	1713
46	83	1685
47	83	1655
48	83	1629
49	84	1601
50	84	1576
51	85	1553
52	85	1529
53	85	1505
54	86	1486
55	86	1465
56	87	1446
57	87	1426
58	88	1407
59	88	1389
60	89	1370
61	89	1354
62	89	1337
63	90	1322
64	90	1307
65	91	1291
66	91	1274
67	91	1260
68	92	1247
69	92	1233
70	93	1220
71	93	1208
72	94	1195
73	94	1183
74	94	1171
75	95	1159
76	95	1149
77	96	1138
78	96	1126
79	97	1116
80	97	1105
81	97	1096
82	98	1083
83	98	1075
84	99	1066
85	99	1057
86	99	1049
87	100	1039
88	100	1031
89	101	1023
90	101	1015
91	101	1006
92	102	999
93	102	991
94	103	982
95	103	975
96	103	967
97	104	959
98	104	952
99	104	944
100	105	938
101	105	930
102	106	925
103	106	920
104	107	916
105	108	911
106	108	905
107	108	899
108	109	894
109	109	888
110	110	882
111	110	876
112	110	870
113	111	864
114	111	859
115	112	853
116	112	848
117	112	843
118	113	838
119	113	833
120	114	828
121	114	823
122	114	818
123	115	813
124	115	809
125	116	804
126	116	800
127	117	798
128	117	793
129	117	788
130	118	784
131	118	781
132	119	778
133	119	774
134	120	771
135	120	767
136	121	763
137	121	760
138	122	756
139	122	753
140	123	750
141	123	746
142	123	742
143	124	739
144	124	736
145	125	732
146	125	728
147	126	726
148	126	723
149	127	720
150	127	717
151	128	714
152	128	712
153	129	708
154	129	705
155	129	702
156	130	699
157	130	697
158	131	694
159	131	690
160	131	687
161	132	685
162	132	682
163	133	680
164	133	677
165	134	675
166	134	672
167	135	669
168	135	666
169	136	664
170	136	661
171	137	662
172	138	661
173	138	658
174	139	656
175	139	653
176	140	651
177	140	648
178	141	646
179	141	644
180	141	641
181	142	639
182	143	638
183	143	636
184	143	634
185	144	631
186	144	629
187	145	627
188	145	625
189	146	623
190	146	622
191	147	620
192	147	618
193	148	616
194	148	613
195	149	611
196	149	609
197	149	607
198	150	605
199	150	603
200	151	601
201	151	599
202	152	596
203	152	594
204	152	592
205	153	590
